id;name;is_site_360;site_number;internal_due;tower_type;p_o_number;tower_latitude;tower_longitude;memo
1;contextually-based Home Loan Account Books;false;24428;2020-01-26T22:23:54;relationships Refined Frozen Table Infrastructure;Assimilated Center;97216;73781;Kansas utilize
2;Checking Account Engineer;true;39553;2020-01-26T21:22:34;technologies benchmark synthesize;Sleek redefine digital;15586;23989;Mountain world-class
3;gold SMTP Berkshire;false;280;2020-01-27T09:22:07;action-items;solution;10390;79445;Beauty index Enhanced
4;Prairie;true;7382;2020-01-26T23:28:10;intuitive Central Handcrafted;feed Sleek Frozen Keyboard;81424;24881;Kwacha multi-byte
5;iterate Intelligent Radial;true;29083;2020-01-27T13:20:04;Optional Assurance Faroe Islands;technologies International South Dakota;23756;92785;Jewelery Gloves Intelligent Cotton Cheese
6;indigo Concrete;false;77612;2020-01-26T21:33:55;ivory index port;Unbranded Wooden Computer;84418;66397;Buckinghamshire Mouse parsing
7;Optimization bandwidth;false;99644;2020-01-27T02:03:59;next-generation;Small Rubber Soap open architecture withdrawal;95124;16931;invoice invoice
8;Liberia task-force;true;49776;2020-01-26T20:06:04;Plastic;mint green matrix Throughway;14073;69870;matrix Soft Ball
9;Cross-group Plastic;true;3752;2020-01-27T15:35:34;orange Practical;Corporate South Dakota;45846;58620;blue
10;hub invoice;true;90589;2020-01-27T08:06:27;local Architect hack;program mission-critical Saint Helena;48535;27652;Officer exuding PCI
