id;name;description;erp_project_id;erp_project_sequence;erp_project_type;erp_status;status;assigned_date;estimated_completion_date;completed_date;draft_due_date;internal_due_date;priority;is_overdue;in_progress;grade
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;Gloves Washington;Savings Account Grocery;Baby Baby morph;South Dakota;ReOpen;Central calculating;2020-01-26T20:36:00;2020-01-26T21:05:59;2020-01-26T23:44:56;2020-01-26T22:57:41;Low;true;true;B
2;Fresh back up Pa'anga;web-enabled back-end optical;Ramp;driver Gorgeous Soft Car Applications;interface;Checking Account integrate Re-contextualized;ReOpen;architectures Executive multi-tasking;2020-01-26T18:40:29;2020-01-27T11:50:52;2020-01-26T23:36:52;2020-01-27T00:05:43;Low;true;true;E
3;THX optimize;Expanded;Hat withdrawal;Refined transparent;Connecticut;parse Micronesia;Rejected;Colombian Peso Unidad de Valor Real initiatives;2020-01-27T13:00:55;2020-01-27T14:29:17;2020-01-27T08:30:33;2020-01-27T12:24:34;High;true;true;B
4;Face to face Cambridgeshire compressing;heuristic;North Korean Won Accountability;withdrawal Investor;intangible Maryland;Congo coherent SQL;NeedInfo;auxiliary Plastic Soft;2020-01-27T01:27:02;2020-01-27T13:47:14;2020-01-27T13:23:45;2020-01-26T18:29:38;High;true;false;A
5;navigating vortals Investor;Chicken;Investment Account Florida orchid;bus Pants;Sleek;Kentucky Georgia Handmade;OnHold;Movies Operations revolutionize;2020-01-27T10:45:10;2020-01-27T08:49:12;2020-01-27T13:19:45;2020-01-26T18:09:11;Medium;false;false;D
6;platforms blue digital;Handmade pink;Washington Ohio;multi-byte regional JBOD;approach vertical;Principal Outdoors Computers;InProgress;Small Fresh Gloves;2020-01-27T06:30:10;2020-01-27T14:25:19;2020-01-26T18:56:09;2020-01-27T10:50:15;Medium;true;true;F
7;generate Metal Maryland;haptic Checking Account Rustic;SCSI;TCP;hacking 24/365;South Carolina hacking microchip;NeedInfo;optical Small compressing;2020-01-26T23:22:31;2020-01-26T21:45:42;2020-01-27T14:17:40;2020-01-26T19:46:05;Medium;true;true;E
8;Mississippi reinvent;Music;New Zealand Dollar withdrawal Concrete;Cambridgeshire Cambridgeshire;Technician Liberian Dollar generating;infomediaries Borders;Open;Down-sized didactic;2020-01-27T01:45:36;2020-01-27T08:05:04;2020-01-27T07:53:36;2020-01-27T08:02:13;Low;true;true;E
9;Quality-focused Facilitator cutting-edge;Buckinghamshire;Massachusetts Books THX;global reboot Home;back-end;Ramp;ReOpen;multi-byte magenta front-end;2020-01-26T19:57:00;2020-01-26T18:13:49;2020-01-26T21:07:15;2020-01-27T05:40:16;Low;false;false;C
10;Human optimize Gloves;Response 24/365;Points;brand;Buckinghamshire Executive Burundi;Computers;InProgress;Keyboard optimize;2020-01-27T06:13:46;2020-01-27T04:05:39;2020-01-27T08:45:23;2020-01-27T10:37:17;Medium;false;false;C
